paint_code,all_codes,name,german_name,family,finish,years,pts_only,hex
4OS,4OS,Moon Gem,Moon Gem,blue,solid,2024-present,yes,#D6CED9
C5M,C5M / C7,Moonlight Blue Metallic,Mondscheinblau Metallic,blue,metallic,2023-present,no,#272A47
5NY,5NY,Nashy Blue,Nashy Blue,blue,solid,2024-present,yes,#45719B
LY5Z,LY5Z,Nautic Metallic,Nautic Metallic,blue,metallic,1987-1988,no,#032342
,,Neptune Blue,Neptunblau,blue,solid,2024-present,no,#00599A
M5X,39C / M5X,Night Blue Metallic,Nachtblau Metallic,blue,metallic,2010-2019,no,#061F44
Z5M,Z5M,Nogaro Blue Metallic,Nogaroblau Metallic,blue,metallic,,yes,#2e4a9c
3AZ,3AY / 3AZ,Ocean Blue Metallic,Oceanblau Metallic,blue,metallic,,no,#29496d
L51P,L51P,Olympic Blue,Olympiablau,blue,solid,,no,#48C7E8
6203,6203 / Z77,Oslo Blue,Oslobalau,blue,solid,1962-1963,no,#037CBF
6803,6803,Ossi Blue,Ossiblau,blue,solid,1968-1969,no,#326BF3
31G,31G,Pacific Blue Metallic,Pazifikblau-met.,blue,metallic,,no,#375975
Q83,Q83,Palace Blue Metallic,Palastblau Metallic,blue,metallic,,yes,#2c3a5b
,,Pale Blue Metallic,Hellblau Metallic,blue,metallic,2024-present,no,#424e5a
,,Pantone 296C,Pantone 296C,blue,solid,2021-present,yes,#003B5C
321,321,Pastel Blue,Pastellblau,blue,solid,1970-1971,no,#2B71B3
376,376 / X5Z,Petrol Blue Metallic,Petrolblau-met.,blue,metallic,,no,#344A60
Z79,Z79,Polar Blue Metallic,Polarblau Metallic,blue,metallic,,no,#828896
33X,33X,Prussian Blue Metallic,Preußischblau-met.,blue,metallic,,no,#122A57
M5B,M0 / M5B,Pure Blue,Reines Blau,blue,solid,,no,#0257CD
3AG,39E / 3AG,Riviera Blue,rivierablue,blue,solid,1994-1998,yes,#2d8bc5
6012,6012,Royal Blue,Königsblau,blue,solid,1960-1961,no,#0B5E98
,,Royal Blue Metallic,Königsblau Metallic,blue,metallic,,no,#284059
,,San Marino Blue,San Marinoblau,blue,solid,2021-present,yes,#010392
W87,W87,San Marino Blue Metallic,San Marinoblau Metallic,blue,metallic,,yes,#010392
Z5K,Z5K,Santorin Blue Metallic,Santorinblau Metallic,blue,metallic,,yes,#1f3263
38W,38W,Sapphire Blue Metallic,Saphirblau Metallic,blue,metallic,1995-2005,no,#3a8fe6
LY5V,LY5V,Sapphire Metallic,Saphir Metallic,blue,metallic,1983-1986,no,#BEBEBE
X5Q,X5Q,Scuba Blue Metallic,Scubablau Metallic,blue,metallic,,yes,#234071
329,329,Sea Blue,Seeblau,blue,solid,,no,#212288
Y5Q,Y5Q,Sepang Blue Metallic,Sepangblau Metallic,blue,metallic,,yes,#355699
D5C,D5C / D7,Shark Blue,Haiblau,blue,solid,2022-present,no,#2391E4
,,Sholar Blue,Sholarblau,blue,solid,,no,#043CAD
R5G,R5G,Shore Blue,Shore Blue,blue,solid,2021-present,yes,#9ABBCD
6403,6403,Sky Blue,Emailblau,blue,solid,1964-1965,no,#4297C8
661,661,Slate Blue Metallic,Schieferblau-met.,blue,metallic,,no,#A3AEBE
5S0,5S0,South Sea Blue Metalic,Südseeblau Metallic,blue,solid,,no,#4481b6
R602,R602,Speedster Blue,Speedsterblau,blue,solid,,no,#1368B3
631,631,Steel Blue Metallic,Stahlblau Metallic,blue,metallic,,no,#54647F
37C,37C,Tahoe Blue Metallic,Tahoeblau Metallic,blue,metallic,1992-1992,no,#2987C8
340,21M / 340,Turquoise,Türkis,blue,solid,1970-1971,no,#72C7CE
5TD,5TD,Turquoise Blue,Türkisblau,blue,solid,,yes,#0E81C9
LM5M,L25C / L25D / LM5M,Turquoise Metallic,Türkis Metallic,blue,metallic,1992-1992,no,#02567C
25D,25C / 25D,Turquoise Metallic (993),Türkis Perlcolor,blue,metallic,,no,#00ACC1
R5013,6827 / R5013,Ultra Blue,Ultrablau,blue,solid,,no,#193276
X5L,X5L,Utopia Blue Metallic,Utopiablau Metallic,blue,metallic,,yes,#688097
36P,36P,Venezia Blue Metallic,Veneziablau-met,blue,metallic,,no,#3F4550
3AF,37E / 3AF,Violet Blue Metallic,Veilchenblau Metallic,blue,metallic,,no,#A478C6
Z12,5VL / Z12,Voodoo Blue,Voodoo Blue,blue,solid,2018-present,yes,#295ca2
Z91,Z91,X Blue,X Blue,blue,solid,2021-present,yes,#333638
M5S,M5S,Yachting Blue Metallic,Yachtblau Metallic,blue,metallic,2017-2023,no,#69778f
3AX,3AW / 3AX,Zenith Blue Metallic,Zenitblau Metallic,blue,metallic,,no,#3B406B
Y8W,Y8W,89 Jazz Brown Metallic,Jazzbraun Metallic,brown,metallic,,yes,#6c5644
Y8R,Y8R,89 Soho Brown Metallic,Sohobraun Metallic,brown,metallic,,yes,#7c7872
LY1Y,LY1Y,Almond Beige Metallic,Mandelbeige Metallic,brown,metallic,1987-1988,no,#C4A570
M8S,M8S,Anthracite Brown Metallic,Anthrazitbraun Metallic,brown,metallic,,yes,#574B41
548,548,Apricot Beige,Apricotbeige,brown,solid,,no,#D4A76A
Y8S,Y8S,Argus Brown Metallic,Argusbraun Metallic,brown,metallic,,yes,#857a73
E6,E6,Auburn Metallic,Rotbraun metallic,brown,metallic,,no,#8A2B21
523,523,Bamboo Beige,Bambusbeige,brown,solid,,no,#501012
LY1Z,LY1Z,Bamboo Metallic,Bambus Metallic,brown,metallic,1989-1990,no,#D6CCBB
Y8U,Y8U,Beluga Brown Metallic,Belugabraun Metallic,brown,metallic,,yes,#5f5049
408,408,Bitter Chocolate,Cockneybraun,brown,solid,,no,#612B19
432,432,Brown Copper Diamond,Braunkupferdiamant,brown,solid,,no,#745330
Y40,Y40,Brown Metallic,braunmetallic,brown,metallic,,no,#5C4836
M3S,M3S / W5,Burgundy Pearl,burgunderperle,brown,pearl,,no,#482A2A
524,524,Caramel,Burnusbraun,brown,solid,,no,#E40707
499,499,Ceramic Beige,Keramikbeige,brown,solid,,no,#DEB28A
H8Z,H8Z,Chestnut Brown Metallic,Kastanienbraun Metallic,brown,metallic,,yes,#86766a
6837,6837 / 80342,Coffee (Cocoa) Brown,kaffeebraun,brown,solid,,no,#412810
M8Q,M8Q,Coffee Beige Metallic,kaffeebeigemetallic,brown,metallic,,no,#DFCCB1
9MU,9MU,Coffee Black,Kaffeeschwarz,brown,solid,,yes,#3c3733
L86A,L86A,Cognac Brown,Cognacbraun,brown,solid,1978-1978,no,#5B3722
40L,40L,Cognac Brown Metallic,Cognacbraun Metallic,brown,metallic,,no,#5B3722
,,Cognac Metallic,Cognac Metallic,brown,metallic,2021-present,yes,#8B736A
LA1M,LA1M,Colorado Beige,Coloradobeige,brown,solid,1981-1981,no,#C4A870
443,443,Copper Brown Metallic,Braunkupferdiamant,brown,metallic,,no,#745330
95F,95F,Copper Metallic,Kupfer Metallic,brown,metallic,1977-1978,no,#C96022
40D,40D / Z8X,Espresso Brown Metallic,Espressobraun-met.,brown,metallic,,no,#422F25
LD6A,LD6A,Havana Brown,Havannabraun,brown,solid,1981-1982,no,#5C3317
Y8Y,Y8Y,Ipanema Brown Metallic,Ipanemabraun Metallic,brown,metallic,,yes,#b26b30
Y8Z,Y8Z,Java Brown Metallic,Javabraun Metallic,brown,metallic,,yes,#745f51
LA1Y,LA1Y,Kalahari Beige Metallic,Kalaharibeige Metallic,brown,metallic,1985-1986,no,#D5D4B6
LM1V,966 / LM1V,Light Bronze Metallic,Hellbronze Metallic,brown,metallic,1983-1984,no,#A59B92
M8W,M8W,Macadamia Metallic,Macadamia Metallic,brown,metallic,2008-2012,no,#3D2A24
LB8Z,LB8Z,Mahogany Brown Metallic,Mahagonibraun Metallic,brown,metallic,1985-1986,no,#512F10
M8S,M8S / M8Y,Mahogany Metallic,Mahagoni Metallic,brown,metallic,2014-2020,no,#3C0608
LE1M,LE1M,Mexico Beige,Mexicobeige,brown,solid,1979-1980,no,#E8D3AB
451,451,Mocha Brown,Moccabraun,brown,solid,,no,#3F3E3A
492,492 / L492,Muscat Brown Metallic,Muskatbraun Metallic,brown,metallic,1985-1986,no,#3E3122
LM8V,40B / LM8V,Nougat Brown Metallic,Nougatbraun Metallic,brown,metallic,1987-1988,no,#876A56
492,492,Nutmeg Brown Metallic,Muskatbraun-met.,brown,metallic,,no,#61330C
LM1N,536 / LM1N,Pastel Beige,Pastellbeige,brown,solid,1985-1986,no,#FAF6EB
M8R,3L / M8R,Ristretto Brown Metallic,ristrettobraunmetallic,brown,metallic,,no,#6C4D3E
474,474,Rosewood Metallic,Palisander-met.,brown,metallic,,no,#694E4E
