paint_code,all_codes,name,german_name,family,finish,years,pts_only,hex
LM1A,LM1A,Lime Yellow,Limonengelb,yellow,solid,1987-1987,no,#C8D200
062,062,Pale Yellow,hellgelb,yellow,solid,,no,#F9FFC9
LY1L,LY1L,Pasadena Yellow,Pasadenagelb,yellow,solid,1983-1984,no,#FFE599
12M,12C / 12L / 12M,Pastel Yellow,Pastellgelb,yellow,solid,,no,#FFF4A7
1S1,1S1 / P3,Racing Yellow,Racinggelb,yellow,solid,2015-present,no,#F5D11F
Z16A,L10A / Z16A,Rallye Yellow,Rallyegelb,yellow,solid,1976-1978,no,#FFD700
7N,7N,Saffron Yellow Metallic,safrangelb metallic,yellow,metallic,,no,#F3C948
M1C,M1C,Sand Yellow,sandgelb,yellow,solid,,no,#FFD053
114,114 / 1YH / L12E,Signal Yellow,signalgelb,yellow,solid,1968-1981,yes,#FFC600
12H,12G / 12H / 1SG,Speed Yellow,Speedgelb,yellow,solid,,no,#FFDE02
L13K,L13K,Summer Yellow,Sonnengelb,yellow,solid,,no,#F6DA33
106,106,Talbot Yellow,Talbotgelb,yellow,solid,,no,#FFD955
539,539,White Gold Metallic,Weißgold-met.,yellow,metallic,,no,#CBBAA8
